Model,FPS,,
model_explorer_U-NetMobileNetv2_80415d536866fa43c7496fea2a43cfd3_Coral,42.12074,,
model_explorer_dong-haha_deeplearning_javaweb_GitHub_1,88.68645,,
model_explorer_zznlzz_dxy_GitHub,140.4974,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_44,304.4682,,
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub,33.59118,,
model_explorer_unetplusplus_local_model,129.9748,,
model_explorer_yolov8n_fde050d28c8b0e5265c982d24516d82a_Hailo,135.0439,,
model_explorer_fralik_ObjectDetection-MLNet_GitHub,261.046,,
model_explorer_DenseNet121_6e8dbf535919f3665894e1643018fd62_KerasApps,130.7375,,
model_explorer_NVIDIA-ISAAC-ROS_isaac_ros_proximity_segmentation_GitHub,39.82971,,
model_explorer_hayden-donnelly_ntg-unity_GitHub_6,14.81853,,
model_explorer_EfficientNet-EdgeTpu(L)_e9ddde77d8af5568ab029d573b8189a2_Coral,136.1202,,
model_explorer_scrfd_2.5g_85e187d907d436a6d20485740cc69ebb_Hailo,146.8821,,
model_explorer_MobileNetv1BodyPix_3ab328d0d776f5f2ad986cfd606e19fe_Coral,76.39206,,
model_explorer_hayden-donnelly_ntg-unity_GitHub_4,14.81856,,
model_explorer_onnx_models_GitHub_123,261.0264,,
model_explorer_yolov5xs_wo_spp_6528487dbd275787a9c4ffc9d024ca28_Hailo,174.7395,,
model_explorer_yolov6n_52c522be794879750c5196c36d7e353f_Hailo,144.7953,,
model_explorer_georg-jung_FaceAiSharp.Models_GitHub_2,146.4022,,
model_explorer_scott-lam_Garbage-Sorting-DNN-With-WLKATA-Mirobot_GitHub_1,94.75105,,
model_explorer_hayden-donnelly_ntg-unity_GitHub_8,14.81845,,
model_explorer_Aktyn_Protaktyn_GitHub,33.59049,,
model_explorer_JosephCatrambone_pixelbox_GitHub,26.27139,,
model_explorer_EdgeTPU-DeepLab-slim_6244a7653f1ca8d9e26af59c06e4565c_Coral,217.1064,,
model_explorer_facial_cartoonizer_local_model,50.74916,,
model_explorer_ankurdave_bird-models_GitHub_5,134.209,,
model_explorer_yolov8n_local_model,142.7342,,
model_explorer_dce_local_model,101.6839,,
model_explorer_PoseNetMobileNetV1_01948f4c147dc296873c78124e70ac52_Coral,65.73994,,
model_explorer_axinc-ai_onnx-quantization_GitHub_6,190.9523,,
model_explorer_EfficientNetV2B2_edfae983179c823c6355c473a31205d5_KerasApps,243.9167,,
model_explorer_PyDNet2_c8cbf05e7acd68547118c30ab634a3af_PINTO_27,73.89216,,
model_explorer_YOLOXTiny_d6da6e0f3471db4c021da55e9223e487_OpenVINO,216.3992,,
model_explorer_yolov7_tiny_3e111ae3003696ae7063f21b9494896f_Hailo,120.0138,,
model_explorer_yolox_s_ti_lite_local_model,77.62917,,
model_explorer_scott-lam_Garbage-Sorting-DNN-With-WLKATA-Mirobot_GitHub,140.471,,
model_explorer_yolov5s_leaky_local_model,134.3232,,
model_explorer_aurelien-m_depth_GitHub,92.75659,,
model_explorer_yolov5s_seg_5ef60a42d4f9860fe7f6c35f15c46ad6_Hailo,65.65219,,
model_explorer_quarrying_quarrying-insect-id_GitHub,136.3835,,
model_explorer_human-pose-estimation-3d-0001_f493762d4a7455b8364d2c381399f3f8_OpenVINO,144.4421,,
model_explorer_yolop320_local_model,105.2751,,
model_explorer_slayerkenneth_FYP_BoAR_PSAN2_38_GitHub_1,114.9363,,
model_explorer_TBEFN_3c187f503d0e13ab838280a4f0679168_PINTO_8,93.83763,,
model_explorer_yolov7_tiny_640_local_model,129.0051,,
model_explorer_MobileNetv1BodyPix_fbd07d714e17fed28f1d6dc38b74ea95_Coral,65.56916,,
model_explorer_r0bb23_rcv_me_not_me_GitHub,48.62551,,
model_explorer_Zero-DCE-TF_db23a34552efae2ef9b7c5b9636fd5dc_PINTO_8,86.8273,,
model_explorer_SCL-LLE_f7aeed7e07f078e4efa345c7c6b3f790_PINTO_46,86.7982,,
model_explorer_Taiki92777_streamlit_demo2_GitHub,92.9423,,
model_explorer_Ashlo_Covid19-xray-Flask-app_GitHub,53.92373,,
model_explorer_EfficientNet-EdgeTpu(L)*_9a6b2c33330c883950e5ef5afd421566_Coral,136.4514,,
model_explorer_yolov5s_189f9282a7b765c60fa9142c10266988_Hailo,118.412,,
model_explorer_openvinotoolkit_openvino_GitHub_26,81.35708,,
model_explorer_ssdmobilenet_v1_800_local_model,93.75104,,
model_explorer_unet_mobilenet_v2_578b17af49d3deb3e3c1d43049533aa6_Hailo,23.78402,,
model_explorer_MonadWizard_PNEUMONIA-prediction-using-keras-VGG16_GitHub,53.9228,,
model_explorer_ankurdave_bird-models_GitHub_4,83.13865,,
model_explorer_raytheonbbn_tak-ml_GitHub_3,54.01404,,
model_explorer_sayannath_SANUS-WEB_GitHub,53.92611,,
model_explorer_acmmmsys_2018-Mimir_GitHub,59.10566,,
model_explorer_wep21_mmdeploy_model_zoo_GitHub,74.85068,,
model_explorer_IP1102_Face-Mask-Detection_GitHub,52.27284,,
model_explorer_Fast-SRGAN_3fa02ec11ad9cbb8149b97b4745a868f_PINTO_2,51.43883,,
model_explorer_jumpnet_local_model,67.23858,,
model_explorer_Surat-96_A-E2E-Covid19-Prediction_GitHub,57.40641,,
model_explorer_AOD-Net_e04d02afa1538a23305586dc856ddea4_PINTO_3,14.36131,,
model_explorer_TBEFN_3c187f503d0e13ab838280a4f0679168_PINTO_40,73.2141,,
model_explorer_yolov8n_seg_878dff037d1faf27fe0e5a7a59f9e36f_Hailo,66.47777,,
model_explorer_opencv_opencv_zoo_GitHub_2,57.2344,,
model_explorer_yolov5n6_6.1_e835245de516fd91d5b7541d8ea88aa2_Hailo,35.35932,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_40,6.064974,,
model_explorer_bisenet_local_model,81.11178,,
model_explorer_yolox_s_leaky_78743adf7aeabf23e45c3f66c336bc68_Hailo,59.95816,,
model_explorer_yolov8s_local_model,67.03359,,
model_explorer_yolox_s_local_model,57.00637,,
model_explorer_YOLO-6D-Pose_c19df40c4dfdfaba5bd100f3649199d1_PINTO_4,32.59308,,
model_explorer_scrfd_10g_c5d8080387e24521eb4ca8ec266987b0_Hailo,81.22579,,
model_explorer_M-LSD_068202de165844f96307a44e9e1910f8_PINTO_1,22.58707,,
model_explorer_raytheonbbn_tak-ml_GitHub,37.56206,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_41,8.287009,,
model_explorer_centerpose_repvgg_a0_2cb59738f18009921a7931bfc3d3f26d_Hailo,64.86107,,
model_explorer_beltoforion_the-tourist-filter_GitHub,26.26376,,
model_explorer_yolov8s_467f5686cfa49bb9b780ea79cc7bd3ad_Hailo,62.86609,,
model_explorer_yolov8s_seg_f613612eb66d7bf5de6cab15aa885386_Hailo,14.79848,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_43,26.96614,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_42,25.0866,,
model_explorer_Zero-DCE-improved_e6ae9392ba368ab059e2aa9e207c8464_PINTO_3,44.88881,,
model_explorer_peter81725_Food-Fighter_GitHub,66.26748,,
model_explorer_PyDNet2_c8cbf05e7acd68547118c30ab634a3af_PINTO,33.54833,,
model_explorer_text_detection_db_db1a72a425cef7f168473f1607c061b3_PINTO_9,22.1292,,
model_explorer_text_detection_db_db1a72a425cef7f168473f1607c061b3_PINTO_7,22.12946,,
model_explorer_Zero-DCE-improved_e6ae9392ba368ab059e2aa9e207c8464_PINTO_21,38.2483,,
model_explorer_zero_dce_4c70bab607cb30d3f72ba948f1b93570_Hailo,27.72188,,
model_explorer_linknet_resnet18_local_model,26.79637,,
model_explorer_Zero-DCE-TF_db23a34552efae2ef9b7c5b9636fd5dc_PINTO_38,29.20867,,
model_explorer_squeezedet_plus_kitti_local_model,39.02662,,
model_explorer_autowarefoundation_modelzoo_GitHub,8.756264,,
model_explorer_yolox_s_wide_leaky_c75142893fb3ab1b654f91a7bfe87e31_Hailo,10.63373,,
model_explorer_nanodet_repvgg_a1_640_a161b2f78882f718915e80d683ba09b4_Hailo,59.36014,,
model_explorer_yolop640_local_model,25.65693,,
model_explorer_CenterNet(CTDETwithDLAV0)512x512_4d7de97c51fcdcd5c0b2738bc0e241b1_OpenVINO,16.07537,,
model_explorer_SFA3D_da2fe07968833012feed1f44c6811fc1_PINTO_7,36.0249,,
model_explorer_Graft-PSMNet_898d0e12e1def41cd880d4ca8e9f6cc7_PINTO_6,22.22213,,
model_explorer_PMN_1b7efe05bf702c8dbc674de90b374981_PINTO_8,23.26042,,
model_explorer_SFA3D_da2fe07968833012feed1f44c6811fc1_PINTO,36.04765,,
model_explorer_deblur_gan_local_model,19.26334,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_14,22.97979,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_13,22.97068,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_5,19.19396,,
model_explorer_fcn8_resnet_v1_18_af05ccf5e55e24919d5e376751a91fca_Hailo,27.48326,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_8,19.35492,,
model_explorer_fcn16_resnet_v1_18_9638e9d06af80875b6acf3d514f9a1fa_Hailo,27.47016,,
model_explorer_Tartisan_MMDet3d-CenterPoint_GitHub_1,5.944826,,
model_explorer_NREL_Panel-Segmentation_GitHub_1,10.44738,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_36,6.040444,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_37,6.040279,,
model_explorer_Fast-SRGAN_3fa02ec11ad9cbb8149b97b4745a868f_PINTO_22,3.229164,,
model_explorer_mbllen_lowlight_with_noise_local_model,3.268456,,
