Model,FPS,,
model_explorer_imagenet_mobilenet_v1_025_224_classification_fd665875f3ab208a0ca57cc14fbedab8_TFHub,1074.58,,
model_explorer_TiVo_dts-studio_GitHub_11,407.9988,,
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub,2313.948,,
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_4,2300.51,,
model_explorer_vehicle-attributes-recognition-barrier-0042_8a6998b14372a9a9b3f62d0caf3bca34_PINTO_5,964.5586,,
model_explorer_maxlegrec1_DetectionFdF_GitHub,133.0559,,
model_explorer_driver-action-recognition-adas-0002-encoder_fc316ce76647ed4da2457956cb09b4b1_PINTO_2,1090.704,,
model_explorer_temmyzeus_No-Toxic_GitHub,806.9774,,
model_explorer_pmcbride_REDNet-TensorFlow_GitHub,2317.397,,
model_explorer_mnasnet_1.0_224_9ef5c95f737ba707019d2d533e4e400a_TFHub,1069.853,,
model_explorer_arbitrary_image_stylization_4ec16d9ab58918bed5e2a300c25dca76_PINTO,894.2351,,
model_explorer_gordinmitya_dnn_benchmark_GitHub_1,1103.955,,
model_explorer_onnx_models_GitHub_72,1104.27,,
model_explorer_octoml_octoml-examples_GitHub_3,1093.548,,
model_explorer_mobilenet_v1_1.0_224_3f45a1889f6d8dafde1351ea198c8548_TFHub,1118.158,,
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub_1,1070.157,,
model_explorer_quarrying_quarrying-plant-id_GitHub,1068.335,,
model_explorer_espcn_x2_57a3f9e845f7f295cab834ea295a5532_Hailo,170.6857,,
model_explorer_batu_ProjNar_GitHub,2329.315,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_2,897.372,,
model_explorer_ML-Chen_vaporwave-gan_GitHub,1660.266,,
model_explorer_dong-haha_deeplearning_javaweb_GitHub,1109.923,,
model_explorer_face-detection-0100_18be1390c6f70f90ff9e4bae53f2b72a_PINTO_11,898.1641,,
model_explorer_kklosowski_CIFAR10-with-Keras_GitHub,2416.873,,
model_explorer_zetane_viewer_GitHub_17,425.7954,,
model_explorer_onnx_models_GitHub_73,425.8015,,
model_explorer_mobilenet_v1_0.25_192_7e1ea4e3ac7ec5b71609e19dc9bb6771_TFHub,1549.783,,
model_explorer_kkweon_mnist-competition_GitHub,686.319,,
model_explorer_object_detection_mobile_object_labeler_v1_29a1baa771f787ef32d0ff31cc78d1c5_TFHub,1068.438,,
model_explorer_onnx_models_GitHub_58,1069.419,,
model_explorer_BadagalaAdarsh_ASL_GitHub,548.858,,
model_explorer_commaai_openpilot_GitHub_1,1289.411,,
model_explorer_LiteTrack_b19f7faeca97c37f3a569028f1f6ddc7_PINTO_2,1560.335,,
model_explorer_MobileNetV2_a66cec24b74b28c92f8bd2c75174cb40_Coral,1063.05,,
model_explorer_onnx_models_GitHub_45,1061.984,,
model_explorer_onnx_models_GitHub_128,425.7744,,
model_explorer_ZICCORP_deep-learning-projects_GitHub,2314.275,,
model_explorer_YAMNet_4a5f991ff1ae5529ac2a9166ac5dc226_PINTO_4,2528.191,,
model_explorer_MobileNetV1_7864375789ac5d0bde53382ab1e34807_Coral,1063.074,,
model_explorer_fabianhasse_openpilot_GitHub,1305.263,,
model_explorer_openvinotoolkit_openvino_GitHub_25,1116.223,,
model_explorer_myacobb_projectAvalanche_GitHub_1,1298.845,,
model_explorer_yolov8s-cls_local_model,822.1179,,
model_explorer_MobileNetV21.0224_9265790c6211edb0136c88cfa87a5dd2_OpenVINO,1089.441,,
model_explorer_batu_ProjNar_GitHub_6,2309.72,,
model_explorer_mnasnet_1.0_96_b904282a9ac82d08187e1ddd4ba3ada7_TFHub,2278.49,,
model_explorer_onnx_models_GitHub_11,1086.406,,
model_explorer_darrenyao87_tnn-models_GitHub_1,759.5804,,
model_explorer_utopiaZhang_devops_for_datascience_GitHub_2,2157.721,,
model_explorer_squeezenet_complex_local_model,646.3025,,
model_explorer_rajasoun_nlp_GitHub,2307.382,,
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO,2611.162,,
model_explorer_quarrying_quarrying-celebrity-id_GitHub_1,2318.161,,
model_explorer_batu_ProjNar_GitHub_16,2297.962,,
model_explorer_ultraface_640_local_model,193.27,,
model_explorer_batu_ProjNar_GitHub_9,2295.517,,
model_explorer_BlazeFace_441468b8afe47ed33b41d17979de449d_PINTO,2296.203,,
model_explorer_vehicle-attributes-recognition-barrier-0039_24bce763e81d631cbef3a103f77d9c7f_PINTO_5,2446.446,,
model_explorer_netsec917_Hikari-IDS_GitHub_4,2328.795,,
model_explorer_gernet_s_local_model,1097.546,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_7,557.5389,,
model_explorer_MobileNetV1_e1b7babf69061a94ac0670870a1e1e76_Coral,1068.145,,
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_3,227.3946,,
model_explorer_UltraLightweightFaceDetectionRFB320_960a5214e4dac129651b234f3bf0584b_OpenVINO,755.3959,,
model_explorer_piyx_ImageProcessingApplications_GitHub,2298.773,,
model_explorer_opencv_opencv_zoo_GitHub_12,146.7735,,
model_explorer_ersilia-os_eos3ae7_GitHub,2319.766,,
model_explorer_efficientnet_lite0_classification_d5ba646fbc2619764c0261e69b13a86a_TFHub,1119.202,,
model_explorer_Selfie_Segmentation_eace39a3611846452997cd3d22a4a865_PINTO_1,227.2829,,
model_explorer_Selfie_Segmentation_eace39a3611846452997cd3d22a4a865_PINTO_2,227.6225,,
model_explorer_yuradanyliuk_AutomaticParking_GitHub_3,2580.431,,
model_explorer_mnasnet_1.0_160_f874e904c45b00b820ecb95ba4c8a962_TFHub,1991.359,,
model_explorer_mshayganfar_chista_GitHub_1,2343.53,,
model_explorer_mp_selfie_segmentation_local_model,227.3061,,
model_explorer_cropnet_classifier_cassava_disease_V1_7e693311a1ce243b5315a36dc65a460e_TFHub,1059.79,,
model_explorer_mp_face_detection_full_range_local_model,666.5012,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_5,876.197,,
model_explorer_HBONet0.25_7117475a66cad230a8fb88792121e0d1_OpenVINO,1108.996,,
model_explorer_yolov3-lite_54861eb28f72c109b69d2110ba8cde5c_PINTO_5,525.8019,,
model_explorer_CNelis_myArtApp_GitHub,1391.896,,
model_explorer_SKT27182_portfolio_GitHub_8,2437.325,,
model_explorer_mobilenet_v1_0.25_160_quantized_7258db3c7f6c68d033c3e5849c5b0b22_TFHub,2035.291,,
model_explorer_openvinotoolkit_openvino_GitHub_22,621.9581,,
model_explorer_cstub_ml-ids_GitHub_1,2322.659,,
model_explorer_theDataFox_capstone_GitHub,157.8131,,
model_explorer_openvinotoolkit_openvino_GitHub_5,1373.491,,
model_explorer_onnx_models_GitHub_165,1074.496,,
model_explorer_BLRSAI_VEXAI-Sim_GitHub_1,2316.486,,
model_explorer_rainbowbismuth_bird-vision_GitHub_1,2437.662,,
model_explorer_usubioinfo_malivhustandalone_GitHub,1742.973,,
model_explorer_YuNetV2_7211ef47fdd0f316eea7a167c2838751_PINTO_3,146.9631,,
model_explorer_lightface_slim_a32fbd29f2df85560c144138bb7221ff_Hailo,759.879,,
