Model,FPS
model_explorer_EfficientNetV2B0_a3d46b5b236c07e20763005aed20c700_OpenVINO,1069.079338
model_explorer_EfficientNetV2B0_e61c107c0e66aa1038cc4a78f93f4ba3_KerasApps,750.6071
model_explorer_EfficientNetV2B1_b716bd2ae5d186e73b6e4d75e7abfe37_KerasApps,607.4388
model_explorer_EfficientNetV2B2_edfae983179c823c6355c473a31205d5_KerasApps,1089.857627
model_explorer_eFiniLan_legacypilot_GitHub,44.77289
model_explorer_Emotion_FERPlus_1a14c09c00f0f31d4c82d35e7713daa0_PINTO_8,670.3556
model_explorer_emza-vs_ModelZoo_GitHub,2534.127
model_explorer_emza-vs_ModelZoo_GitHub_1,2614.981
model_explorer_emza-vs_ModelZoo_GitHub_3,1415.184
model_explorer_ersilia-os_eos3ae7_GitHub,2408.714
model_explorer_ersilia-os_image-based-dl_GitHub,45.84642
model_explorer_ersilia-os_image-based-dl_GitHub_1,1371.906
model_explorer_espcn_local_model,119.5912
model_explorer_espcn_x2_57a3f9e845f7f295cab834ea295a5532_Hailo,289.9209
model_explorer_espcn_x3_db0bbbfcb4191e0fd31750e86ffd5c79_Hailo,691.1321
model_explorer_espcn_x4_c92622cdedd9a20119a85a90d9b0984c_Hailo,1150.554
model_explorer_Estacao-pilhas-pi2_battery-analyser_GitHub,1326.929
model_explorer_expression_vgg13_local_model,723.3117
model_explorer_FabianGroeger96_cnn-number-detection_GitHub,2385.448
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_1,2471.259
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_2,2413.163
model_explorer_fabianhasse_openpilot_GitHub,2143.549
model_explorer_face_attr_resnet_v1_18_a3c4d9cfdcd350ef27b5ad17044a97ec_Hailo,580.827
model_explorer_face_landmark_11e7e3fbb51ee269b0caadc0a051b57f_PINTO_1,2372.875
model_explorer_face-detection-0100_18be1390c6f70f90ff9e4bae53f2b72a_PINTO_11,1442.395
model_explorer_face-detection-adas-0001_17ded224973f9cee1702b8fe01a4380c_PINTO_4,374.6161
model_explorer_FaceBoxes_6e1df205b97688e34bef8e2e23544af2_OpenVINO,91.37319
model_explorer_facial_cartoonizer_local_model,82.54924
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_4,2454.213
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_6,2425.808
model_explorer_fast_depth_7cb9fc9994feba47c2b2b47aacdd73b8_Hailo,470.3089
model_explorer_Fast-SRGAN_3fa02ec11ad9cbb8149b97b4745a868f_PINTO_2,81.43704
model_explorer_Fast-SRGAN_3fa02ec11ad9cbb8149b97b4745a868f_PINTO_22,5.487419
model_explorer_fcn16_resnet_v1_18_9638e9d06af80875b6acf3d514f9a1fa_Hailo,36.16484
model_explorer_fcn8_resnet_v1_18_af05ccf5e55e24919d5e376751a91fca_Hailo,34.89236
model_explorer_fralik_ObjectDetection-MLNet_GitHub,443.3761
model_explorer_FRILL_d830529e1248d3d75f95c02da4cfebf8_PINTO_5,2458.494
model_explorer_georg-jung_FaceAiSharp.Models_GitHub_2,233.9994
model_explorer_gernet_m_local_model,184.5026
model_explorer_gernet_s_local_model,1522.496
