#,Model,target_system,chips,Frames,Total Runs,Finished Runs,Min FPS,Max FPS,Avg FPS,Delta FPS,Min Latency,Max Latency,Avg Latency,Delta Latency,Commit,Start Time (UTC)
126,tf_real_efficientnet_tpu_l_performance_cascade_plus,Cascade+,2,5,1,1,211.4038816595078,211.4038816595078,211.4,0.0,18.25688475390156,18.25688475390156,18.3,0.0,'5558f3e9a',2024-05-08 17:00:55
127,tf_real_yolov5m_leaky_416_performance_cascade_plus,Cascade+,3,5,1,1,152.6941722701884,152.6941722701884,152.7,0.2,14.547536614645859,14.547536614645859,14.5,0.0,'5558f3e9a',2024-05-08 17:00:55
128,tfl_real_mp_palm_detection_full_performance_cascade_plus,Cascade+,2,5,1,1,398.20687396848047,398.20687396848047,398.2,-11.3,3.5825594237695078,3.5825594237695078,3.6,9.1,'5558f3e9a',2024-05-08 17:00:55
129,tfl_real_mp_hand_recrop_performance_cascade_plus,Cascade+,1,5,1,1,1669.6866681633046,1669.6866681633046,1669.7,0.0,0.6877995198079232,0.6877995198079232,0.7,0.0,'5558f3e9a',2024-05-08 17:00:55
130,k_real_espcn_performance_cascade_plus,Cascade+,1,5,1,1,111.51547929901878,111.51547929901878,111.5,0.0,9.027327731092436,9.027327731092436,9.0,0.0,'5558f3e9a',2024-05-08 17:00:55
131,tf_real_efficientnet_tpu_s_performance_cascade_plus,Cascade+,1,5,1,1,341.62256775907287,341.62256775907287,341.6,-0.0,10.160315726290516,10.160315726290516,10.2,0.0,'5558f3e9a',2024-05-08 17:00:55
132,tf_real_ssdmobilenetv2_fpnlite_performance_cascade_plus,Cascade+,1,5,1,1,134.72771940340365,134.72771940340365,134.7,0.0,9.508547418967588,9.508547418967588,9.5,0.0,'5558f3e9a',2024-05-08 17:00:55
133,k_real_resnet50_v2_performance_cascade_plus,Cascade+,3,5,1,1,573.9503701738732,573.9503701738732,574.0,0.0,6.656123649459784,6.656123649459784,6.7,0.0,'5558f3e9a',2024-05-08 17:00:55
134,tfl_real_mp_face_detection_full_range_sparse_performance_cascade_plus,Cascade+,1,5,1,1,498.7717819714658,498.7717819714658,498.8,-6.9,2.856,2.856,2.9,3.6,'5558f3e9a',2024-05-08 17:00:55
135,tf_real_mobilenetv1_ssd_performance_cascade_plus,Cascade+,1,5,1,1,717.6128732685328,717.6128732685328,717.6,0.0,3.719699879951981,3.719699879951981,3.7,0.0,'5558f3e9a',2024-05-08 17:00:55
136,tfl_real_efficientdet_lite1_performance_cascade_plus,Cascade+,3,5,1,1,161.38380119298083,161.38380119298083,161.4,0.0,16.260129651860744,16.260129651860744,16.3,0.0,'5558f3e9a',2024-05-08 17:00:55
137,tfl_real_bodypix_mobilenet_performance_cascade_plus,Cascade+,1,5,1,1,612.6777215890933,612.6777215890933,612.7,0.0,3.025488595438175,3.025488595438175,3.0,0.0,'5558f3e9a',2024-05-08 17:00:55
138,k_real_unet_performance_cascade_plus,Cascade+,1,5,1,1,137.2989262993209,137.2989262993209,137.3,0.0,7.497332533013205,7.497332533013205,7.5,0.0,'5558f3e9a',2024-05-08 17:00:55
139,k_real_efficientnetb1_performance_cascade_plus,Cascade+,3,5,1,1,561.7888489971597,561.7888489971597,561.8,-0.9,15.445567827130851,15.445567827130851,15.4,-0.6,'5558f3e9a',2024-05-08 17:00:55
140,k_real_efficientnetv2b1_performance_cascade_plus,Cascade+,2,5,1,1,573.59526828662,573.59526828662,573.6,0.0,16.28380432172869,16.28380432172869,16.3,0.0,'5558f3e9a',2024-05-08 17:00:55
141,k_real_resnet152_v1_performance_cascade_plus,Cascade+,0,5,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,'5558f3e9a',2024-05-08 17:00:55
142,tfl_real_mp_object_detection_3d_sneakers_1stage_performance_cascade_plus,Cascade+,1,5,1,1,64.98469680601775,64.98469680601775,65.0,0.0,18.586529411764708,18.586529411764708,18.6,0.0,'5558f3e9a',2024-05-08 17:00:55
143,onnx_real_eye_contact_resnet_performance_cascade_plus,Cascade+,3,5,1,1,606.0678817854774,606.0678817854774,606.1,-0.0,5.723370948379352,5.723370948379352,5.7,0.0,'5558f3e9a',2024-05-08 17:00:55
144,tf_real_ssdmobilenet_v1_800_performance_cascade_plus,Cascade+,1,5,1,1,90.83787690835194,90.83787690835194,90.8,0.0,16.37134693877551,16.37134693877551,16.4,0.0,'5558f3e9a',2024-05-08 17:00:55
145,tf_real_ssdmobilenetv1_fpn_performance_cascade_plus,Cascade+,4,5,1,1,39.30855543158706,39.30855543158706,39.3,0.0,37.42364345738295,37.42364345738295,37.4,0.0,'5558f3e9a',2024-05-08 17:00:55
146,tfl_real_mp_hand_landmark_full_performance_cascade_plus,Cascade+,1,5,1,1,1114.1189499194838,1114.1189499194838,1114.1,-0.0,3.6960324129651863,3.6960324129651863,3.7,0.0,'5558f3e9a',2024-05-08 17:00:55
147,onnx_real_yolox_m_ti_lite_performance_cascade_plus,Cascade+,3,5,1,1,30.928504140112583,30.928504140112583,30.9,-1.9,45.20147178871549,45.20147178871549,45.2,0.2,'5558f3e9a',2024-05-08 17:00:55
148,k_real_densenet201_performance_cascade_plus,Cascade+,4,5,1,1,224.6426213663449,224.6426213663449,224.6,-0.8,28.525992797118846,28.525992797118846,28.5,0.4,'5558f3e9a',2024-05-08 17:00:55
